prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
2,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
3,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
4,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
5,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
6,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
7,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
8,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
9,211,156,55,0,0,0.7393364928909952,1,0.8501362397820162
10,210,155,55,0,0,0.7380952380952381,1,0.8493150684931507
11,209,154,55,0,0,0.7368421052631579,1,0.8484848484848484
12,208,153,55,0,0,0.7355769230769231,1,0.8476454293628809
13,206,151,55,0,0,0.7330097087378641,1,0.8459383753501402
14,206,151,55,0,0,0.7330097087378641,1,0.8459383753501402
15,203,148,55,0,0,0.729064039408867,1,0.8433048433048433
16,203,148,55,0,0,0.729064039408867,1,0.8433048433048433
17,202,147,55,0,0,0.7277227722772277,1,0.8424068767908309
18,201,146,55,0,0,0.7263681592039801,1,0.8414985590778098
19,201,146,55,0,0,0.7263681592039801,1,0.8414985590778098
20,200,145,55,0,0,0.725,1,0.8405797101449275
21,197,142,55,0,0,0.7208121827411168,1,0.8377581120943952
22,196,141,55,0,0,0.7193877551020408,1,0.8367952522255193
23,196,141,55,0,0,0.7193877551020408,1,0.8367952522255193
24,196,141,55,0,0,0.7193877551020408,1,0.8367952522255193
25,194,141,53,0,0,0.7268041237113402,1,0.8417910447761193
26,194,141,53,0,0,0.7268041237113402,1,0.8417910447761193
27,193,140,53,0,0,0.7253886010362695,1,0.8408408408408409
28,193,140,53,0,0,0.7253886010362695,1,0.8408408408408409
29,193,140,53,0,0,0.7253886010362695,1,0.8408408408408409
30,193,140,53,0,0,0.7253886010362695,1,0.8408408408408409
31,193,140,53,0,0,0.7253886010362695,1,0.8408408408408409
32,192,139,53,0,0,0.7239583333333334,1,0.8398791540785498
33,192,139,53,0,0,0.7239583333333334,1,0.8398791540785498
34,192,139,53,0,0,0.7239583333333334,1,0.8398791540785498
35,189,136,53,0,0,0.7195767195767195,1,0.8369230769230769
36,189,136,53,0,0,0.7195767195767195,1,0.8369230769230769
37,188,135,53,0,0,0.7180851063829787,1,0.8359133126934984
38,188,135,53,0,0,0.7180851063829787,1,0.8359133126934984
39,188,135,53,0,0,0.7180851063829787,1,0.8359133126934984
40,185,132,53,0,0,0.7135135135135136,1,0.832807570977918
