prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,225,145,80,0,0,0.6444444444444445,1.0,0.7837837837837839
2,218,139,79,0,0,0.6376146788990825,1.0,0.7787114845938375
3,203,124,79,0,0,0.6108374384236454,1.0,0.7584097859327217
4,198,119,79,0,0,0.601010101010101,1.0,0.750788643533123
5,191,112,79,0,0,0.5863874345549738,1.0,0.7392739273927392
6,184,105,79,0,0,0.5706521739130435,1.0,0.726643598615917
7,183,104,79,0,0,0.5683060109289617,1.0,0.7247386759581881
8,180,101,79,0,0,0.5611111111111111,1.0,0.7188612099644128
9,180,101,79,0,0,0.5611111111111111,1.0,0.7188612099644128
10,180,101,79,0,0,0.5611111111111111,1.0,0.7188612099644128
11,178,99,79,0,0,0.5561797752808989,1.0,0.7148014440433214
12,178,99,79,0,0,0.5561797752808989,1.0,0.7148014440433214
13,178,99,79,0,0,0.5561797752808989,1.0,0.7148014440433214
14,176,97,79,0,0,0.5511363636363636,1.0,0.7106227106227105
15,176,97,79,0,0,0.5511363636363636,1.0,0.7106227106227105
16,175,97,78,0,0,0.5542857142857143,1.0,0.7132352941176471
17,175,97,78,0,0,0.5542857142857143,1.0,0.7132352941176471
18,175,97,78,0,0,0.5542857142857143,1.0,0.7132352941176471
19,172,96,76,0,0,0.5581395348837209,1.0,0.7164179104477612
20,170,96,74,0,0,0.5647058823529412,1.0,0.7218045112781954
21,165,96,69,0,0,0.5818181818181818,1.0,0.735632183908046
22,139,95,44,0,0,0.6834532374100719,1.0,0.811965811965812
23,118,95,23,0,0,0.8050847457627118,1.0,0.8920187793427229
24,107,94,13,0,0,0.8785046728971962,1.0,0.9353233830845772
25,102,94,8,0,0,0.9215686274509803,1.0,0.9591836734693878
