prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,228,77,151,0,0,0.337719298245614,1,0.5049180327868852
2,227,77,150,0,0,0.3392070484581498,1,0.5065789473684211
3,218,77,141,0,0,0.3532110091743119,1,0.5220338983050847
4,213,77,136,0,0,0.3615023474178404,1,0.5310344827586206
5,207,77,130,0,0,0.3719806763285024,1,0.5422535211267606
6,200,77,123,0,0,0.385,1,0.555956678700361
7,200,77,123,0,0,0.385,1,0.555956678700361
8,198,77,121,0,0,0.3888888888888889,1,0.56
9,198,77,121,0,0,0.3888888888888889,1,0.56
10,198,77,121,0,0,0.3888888888888889,1,0.56
11,195,77,118,0,0,0.3948717948717949,1,0.5661764705882353
12,195,77,118,0,0,0.3948717948717949,1,0.5661764705882353
13,194,77,117,0,0,0.3969072164948453,1,0.5682656826568265
14,192,76,116,0,0,0.3958333333333333,1,0.5671641791044776
15,192,76,116,0,0,0.3958333333333333,1,0.5671641791044776
16,192,76,116,0,0,0.3958333333333333,1,0.5671641791044776
17,192,76,116,0,0,0.3958333333333333,1,0.5671641791044776
18,192,76,116,0,0,0.3958333333333333,1,0.5671641791044776
19,191,76,115,0,0,0.3979057591623036,1,0.5692883895131086
20,191,76,115,0,0,0.3979057591623036,1,0.5692883895131086
21,191,76,115,0,0,0.3979057591623036,1,0.5692883895131086
22,190,76,114,0,0,0.4,1,0.5714285714285715
23,190,76,114,0,0,0.4,1,0.5714285714285715
24,189,75,114,0,0,0.3968253968253968,1,0.5681818181818182
25,189,75,114,0,0,0.3968253968253968,1,0.5681818181818182
26,189,75,114,0,0,0.3968253968253968,1,0.5681818181818182
27,185,72,113,0,0,0.3891891891891892,1,0.5603112840466926
28,184,72,112,0,0,0.391304347826087,1,0.5625
29,182,72,110,0,0,0.3956043956043956,1,0.5669291338582677
30,182,72,110,0,0,0.3956043956043956,1,0.5669291338582677
31,178,69,109,0,0,0.3876404494382023,1,0.5587044534412956
32,175,69,106,0,0,0.3942857142857143,1,0.5655737704918032
33,172,66,106,0,0,0.3837209302325582,1,0.5546218487394958
34,170,65,105,0,0,0.3823529411764706,1,0.5531914893617021
35,168,63,105,0,0,0.375,1,0.5454545454545454
36,165,62,103,0,0,0.3757575757575757,1,0.5462555066079295
37,160,61,99,0,0,0.38125,1,0.5520361990950226
38,159,61,98,0,0,0.3836477987421384,1,0.5545454545454546
39,157,61,96,0,0,0.3885350318471338,1,0.5596330275229358
40,157,61,96,0,0,0.3885350318471338,1,0.5596330275229358
