prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
2,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
3,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
4,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
5,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
6,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
7,151,132,16,0,3,0.8918918918918919,0.9777777777777777,0.9328621908127209
8,151,43,6,10,92,0.8775510204081632,0.31851851851851853,0.46739130434782605
9,148,43,6,10,89,0.8775510204081632,0.32575757575757575,0.4751381215469612
10,146,41,5,11,89,0.8913043478260869,0.3153846153846154,0.4659090909090909
11,135,0,0,0,0,0,0,0
12,121,0,0,0,0,0,0,0
13,102,0,0,0,0,0,0,0
14,86,0,0,0,0,0,0,0
15,73,0,0,0,0,0,0,0
