prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
2,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
3,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
4,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
5,151,132,16,0,3,0.8918918918918919,0.9777777777777777,0.9328621908127209
6,151,130,16,0,5,0.8904109589041096,0.9629629629629629,0.9252669039145908
7,151,130,16,0,5,0.8904109589041096,0.9629629629629629,0.9252669039145908
8,151,109,12,4,26,0.9008264462809917,0.8074074074074075,0.8515625
9,148,96,11,5,36,0.897196261682243,0.7272727272727273,0.8033472803347281
10,146,90,9,7,40,0.9090909090909091,0.6923076923076923,0.7860262008733625
11,135,78,8,6,43,0.9069767441860465,0.6446280991735537,0.753623188405797
12,121,65,8,4,44,0.8904109589041096,0.5963302752293578,0.7142857142857142
13,102,65,8,1,28,0.8904109589041096,0.6989247311827957,0.783132530120482
14,86,48,5,3,30,0.9056603773584906,0.6153846153846154,0.7328244274809161
15,73,39,4,4,26,0.9069767441860465,0.6,0.7222222222222222
16,53,30,3,2,18,0.9090909090909091,0.625,0.7407407407407406
17,43,27,3,1,12,0.9,0.6923076923076923,0.7826086956521738
18,34,0,0,0,0,0,0,0
19,33,0,0,0,0,0,0,0
20,30,0,0,0,0,0,0,0
21,26,0,0,0,0,0,0,0
22,23,0,0,0,0,0,0,0
23,20,0,0,0,0,0,0,0
24,19,0,0,0,0,0,0,0
25,17,0,0,0,0,0,0,0
